id_origem;cd_origem;id_categoria_economica;categoria_economica;nome
1;0;0;NAO INFORMADO;NAO INFORMADO
2;0;0;SEM DESCRIC?O;SEM DESCRIC?O
3;0;1;RECEITAS CORRENTES;RECEITAS CORRENTES
4;1;1;RECEITAS CORRENTES;RECEITA TRIBUTARIA
5;2;1;RECEITAS CORRENTES;RECEITA DE CONTRIBUICOES
6;3;1;RECEITAS CORRENTES;RECEITA PATRIMONIAL
7;4;1;RECEITAS CORRENTES;RECEITA AGROPECUARIA
8;5;1;RECEITAS CORRENTES;RECEITA INDUSTRIAL
9;6;1;RECEITAS CORRENTES;RECEITAS DE SERVICOS
10;7;1;RECEITAS CORRENTES;TRANSFERENCIAS CORRENTES
11;9;1;RECEITAS CORRENTES;OUTRAS RECEITAS CORRENTES
12;0;2;RECEITAS DE CAPITAL;RECEITAS DE CAPITAL
13;1;2;RECEITAS DE CAPITAL;OPERACOES DE CREDITO
14;2;2;RECEITAS DE CAPITAL;ALIENACAO DE BENS
15;3;2;RECEITAS DE CAPITAL;AMORTIZACAO DE EMPRESTIMOS
16;4;2;RECEITAS DE CAPITAL;TRANSFERENCIAS DE CAPITAL
17;5;2;RECEITAS DE CAPITAL;OUTRAS RECEITAS DE CAPITAL
19;0;7;RECEITA INTRA-ORCAMENTARIA;RECEITA INTRA-ORCAMENTARIA
20;2;7;RECEITA INTRA-ORCAMENTARIA;RECEITA DE CONTRIBUICOES
21;3;7;RECEITA INTRA-ORCAMENTARIA;RECEITA PATRIMONIAL
22;4;7;RECEITA INTRA-ORCAMENTARIA;RECEITA AGROPECUARIA
23;5;7;RECEITA INTRA-ORCAMENTARIA;RECEITA INDUSTRIAL
24;6;7;RECEITA INTRA-ORCAMENTARIA;RECEITA DE SERVICOS
25;9;7;RECEITA INTRA-ORCAMENTARIA;OUTRAS RECEITAS CORRENTES
26;0;9;DEDUCOES DA RECEITA CORRENTE;DEDUCOES DA RECEITA CORRENTE
27;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DO ESTADO - ICMS - CESSAO DE DIREITOS CREDITORIOS - LEI 19266/2010
28;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - ICMS
29;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - IPVA
30;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - IPVA
31;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - ITCD
32;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA DE ICMS PARA FORMACAO DO FUNDEB
33;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA DE ICMS PARA FORMACAO DO FUNDEF
34;1;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DE RECEITA PARA FORMACAO DO FUNDEB - ICMS
35;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA - REMUNERACAO DOS INSVESTIMENTOS DO REGIME PROPRIODE PREVIDENCIA DO SERVIDOR EM RENDA VARIAVEL
36;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA - REMUNERACAO DOS INVESTIMENTOS DO REGIME PROPRIO DE PREVIDENCIA DO SERVIDOR EM RENDA VARIAVEL
37;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA - REMUNERACAO DOS INVESTIMENTOS DO REGIME PROPRIO DE PREVIDENCIA EM RENDA FIXA
38;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA - TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL -V INCULADOS AO RPPS
39;3;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA - TITULOS DE RESPONSABILIDADE DO GOVERNO FEDERAL VINCULADOS AO RPPS
40;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DA CONTRIBUICAO DE INTERVENCAO NO DOMINIO ECONOMICO - MUNICIPIO
41;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA DA COTA-PARTE DOS MUNICIPIOS - IPI
42;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - FPE
43;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - ICMS - DESONERACAO - LEI COMPLEMENTAR 87/96
44;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB - TRANSFERENCIAS DA UNIAO
45;7;9;DEDUCOES DA RECEITA CORRENTE;DEDUCAO DA RECEITA PARA FORMACAO DO FUNDEB -IPI EXPORTACAO
