id_tempo,id_unidade_orc,id_origem,id_especie,id_desdobramento_1,id_desdobramento_2,id_desdobramento_3,id_tipo,id_item,id_subitem,id_fonte,cd_fonte,cd_classificacao_rec,ano_particao,vr_efetivado
2249,3861,137,22,14,186,537,808,3180,2687,91,43,1210042199001.0,2019,372841.5
2249,3865,14,21,152,57,191,934,3402,1109,74,47,2213001199000.0,2019,8500.0
2249,3873,14,21,152,57,191,934,3402,1109,74,47,2213001199000.0,2019,80550.0
2249,3865,112,132,23,176,521,419,4080,1923,40,49,7210991101003.0,2019,1509156.2
2231,3781,120,76,2,266,506,7,3434,389,76,27,1121011201003.0,2018,32.51
2231,3781,16,145,173,143,165,1452,3920,238,87,36,2418051101003.0,2018,0.0
2231,3715,137,22,14,186,537,808,4420,2315,91,43,1210042105000.0,2018,128675.91
2231,3715,137,22,14,186,635,60,4122,485,91,43,1210043103000.0,2018,0.0
2231,3781,10,146,76,181,225,801,4404,61,92,45,1740001199000.0,2018,0.0
2239,3758,141,206,17,343,639,1005,4722,1977,25,60,1610011107000.0,2018,162477.43
2239,3734,141,206,17,343,639,1005,2635,2378,25,60,1610011124000.0,2018,86377.14
2241,3823,6,191,118,91,60,1440,4806,1705,73,10,1321001101000.0,2018,0.0
2241,3781,11,168,154,307,460,720,3618,1747,73,10,1922061101999.0,2018,322050.56
2241,3781,11,131,96,413,802,183,5026,3209,73,10,1910011109000.0,2018,3.25
2232,3781,10,145,173,414,292,1494,4905,1478,73,10,1718061101001.0,2018,12323453.71
2232,3823,11,131,96,413,802,927,3075,347,73,10,1910011304001.0,2018,0.0
2232,3781,15,2,21,374,811,586,3419,2965,73,10,2300061101000.0,2018,513783.44
2242,3781,116,162,75,179,419,978,3150,1575,73,10,7500001102002.0,2018,900.0
2242,3752,92,152,26,238,628,981,3161,437,73,10,7728019101000.0,2018,-1484273.46
2242,3801,11,168,154,165,607,946,4852,2863,5,22,1922991101000.0,2018,30256.95
2250,3937,120,76,2,266,506,790,2834,1174,76,27,1121011101002.0,2019,1197845.01
2250,3937,120,76,2,266,506,790,2834,1902,76,27,1121011101004.0,2019,45583013.05
2250,3846,10,146,76,181,225,801,4404,61,92,45,1740001199000.0,2019,5235.84
2250,3937,14,21,152,57,191,934,3402,1109,74,47,2213001199000.0,2019,0.0
2231,3773,137,22,14,26,431,322,2976,2819,25,60,1210991102010.0,2018,74207.23
2231,3775,6,207,20,394,553,491,3256,2781,25,60,1310011101001.0,2018,0.0
2231,3767,6,207,20,90,559,862,3874,1330,25,60,1310021101001.0,2018,0.0
2231,3790,6,191,118,91,60,1440,4806,1705,25,60,1321001101000.0,2018,0.0
2231,3746,141,206,17,343,639,1005,3803,1976,25,60,1610011103000.0,2018,80.0
2242,3776,16,194,42,164,501,592,2811,75,96,70,2438109120004.0,2018,364665.32
2242,3814,11,131,96,60,496,942,4340,2963,136,77,1910081101000.0,2018,35827.840000000004
2249,3907,141,206,17,154,189,575,3078,2951,25,60,1610031106000.0,2019,4676295.43
2249,3889,11,168,154,165,607,946,4268,267,25,60,1922991199000.0,2019,20.0
2249,3881,11,208,58,212,794,173,4584,2915,25,60,1990991199000.0,2019,89081.1
2249,3865,15,2,21,374,811,586,3419,2965,25,60,2300061101000.0,2019,1331.54
2232,3743,8,11,15,28,31,1191,4707,2324,65,61,1500001101005.0,2018,260.0
2246,3937,120,44,124,64,209,400,2826,769,4,23,1118012203000.0,2019,1202819.76
2246,3884,6,191,118,91,60,1440,4806,1705,22,24,1321001101000.0,2019,46.56
2246,3937,10,145,173,109,391,1117,2789,1496,22,24,1718102102002.0,2019,0.0
