id_tipo,cd_tipo,nome
246,2,"DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA DE TRANSPORTE RODOVIARIO PARA OS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS - MULTAS E JUROS"
247,4,RECEITA INDUSTRIAL - DIVIDA ATIVA - MULTAS E JUROS
248,4,CONTRIBUICAO DO SERVIDOR ATIVO CIVIL PARA O RPPS - DIVIDA ATIVA - MULTAS E JUROS
249,1,DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA DE TRANSPORTE FERROVIARIO - PRINCIPAL
250,2,DELEGACAO PARA EXPLORACAO DA INFRAESTRUTURA DE TRANSPORTE AQUAVIARIO - MULTAS E JUROS
251,0,DELEGACAO DOS SERVICOS DE TELECOMUNICACAO - PODER CONCEDENTE NO REGIME PUBLICO
252,1,CONTRIBUICAO DO MILITAR INATIVO - PRINCIPAL
253,3,DELEGACAO DOS SERVICOS DE TELECOMUNICACAO - PODER CONCEDENTE NO REGIME PUBLICO - DIVIDA ATIVA
254,2,DELEGACAO DOS SERVICOS DE TELECOMUNICACAO - ATIVIDADE ORDENADORA NO REGIME PRIVADO - MULTAS E JUROS
255,3,DELEGACAO DOS SERVICOS DE RADIODIFUSAO SONORA E DE SONS E IMAGENS - DIVIDA ATIVA
256,0,CESSAO DO DIREITO DE USO DE RADIOFREQUENCIA
257,0,CONTRIBUICAO DO PENSIONISTA PARA O RPPS
258,0,CONTRIBUICAO PATRONAL DOS PENSIONISTAS MILITARES
259,4,CONTRIBUICAO PARA O PROGRAMA DE INTEGRACAO NACIONAL - PIN - DIVIDA ATIVA - MULTAS E JUROS
260,4,CONTRIBUICAO PARA O PROGRAMA DE REDISTRIBUICAO DE TERRAS E DE ESTIMULO A AGROINDUSTRIA DO NORTE E DO NORDESTE - PROTERRA - DIVIDA ATIVA - MULTAS E JUR
261,1,TRANSFERENCIA DA DELEGACAO DOS SERVICOS DE TELECOMUNICACOES OU DO DIREITO DE USO DE RADIOFREQUENCIA - PRINCIPAL
262,3,CONCESSAO DE LICENCAS E AUTORIZACOES DA AGENCIA ESPACIAL BRASILEIRA - DIVIDA ATIVA
263,2,SERVICOS ADMINISTRATIVOS E COMERCIAIS GERAIS - MULTAS E JUROS
