id_tempo,mes,ano,anomes_formatado
309,10,1988,10/1988
310,11,1988,11/1988
311,12,1988,12/1988
312,0,1989,00/1989
313,14,1989,14/1989
314,13,1989,13/1989
315,1,1989,01/1989
316,2,1989,02/1989
317,3,1989,03/1989
318,4,1989,04/1989
319,5,1989,05/1989
320,6,1989,06/1989
321,7,1989,07/1989
322,8,1989,08/1989
323,9,1989,09/1989
324,10,1989,10/1989
325,11,1989,11/1989
326,12,1989,12/1989
327,0,1990,00/1990
328,14,1990,14/1990
329,8,1908,08/1908
330,9,1908,09/1908
331,10,1908,10/1908
332,11,1908,11/1908
333,12,1908,12/1908
334,0,1909,00/1909
335,14,1909,14/1909
336,13,1909,13/1909
337,1,1909,01/1909
338,2,1909,02/1909
339,3,1909,03/1909
340,4,1909,04/1909
341,5,1909,05/1909
342,6,1909,06/1909
343,7,1909,07/1909
344,8,1909,08/1909
345,9,1909,09/1909
346,10,1909,10/1909
347,11,1909,11/1909
348,12,1909,12/1909
349,0,1910,00/1910
350,14,1910,14/1910
351,13,1910,13/1910
352,1,1910,01/1910
353,2,1910,02/1910
354,3,1910,03/1910
355,4,1910,04/1910
356,5,1910,05/1910
357,6,1910,06/1910
358,7,1910,07/1910
359,8,1910,08/1910
360,9,1910,09/1910
361,10,1910,10/1910
362,11,1910,11/1910
363,12,1910,12/1910
364,0,1911,00/1911
365,14,1911,14/1911
366,13,1911,13/1911
367,1,1911,01/1911
368,2,1911,02/1911
369,3,1911,03/1911
370,4,1911,04/1911
371,5,1911,05/1911
372,6,1911,06/1911
373,7,1911,07/1911
374,8,1911,08/1911
375,9,1911,09/1911
376,10,1911,10/1911
377,11,1911,11/1911
378,12,1911,12/1911
379,0,1912,00/1912
380,14,1912,14/1912
381,13,1912,13/1912
382,1,1912,01/1912
383,2,1912,02/1912
384,3,1912,03/1912
385,4,1912,04/1912
386,5,1912,05/1912
387,6,1912,06/1912
388,7,1912,07/1912
389,8,1912,08/1912
390,9,1912,09/1912
391,10,1912,10/1912
392,11,1912,11/1912
393,12,1912,12/1912
394,0,1913,00/1913
395,14,1913,14/1913
396,13,1913,13/1913
397,1,1913,01/1913
398,2,1913,02/1913
399,3,1913,03/1913
400,4,1913,04/1913
401,5,1913,05/1913
402,6,1913,06/1913
403,7,1913,07/1913
404,8,1913,08/1913
405,9,1913,09/1913
406,10,1913,10/1913
407,11,1913,11/1913
408,12,1913,12/1913
409,0,1914,00/1914
410,14,1914,14/1914
411,13,1914,13/1914
412,1,1914,01/1914
413,2,1914,02/1914
414,3,1914,03/1914
415,4,1914,04/1914
416,5,1914,05/1914
417,6,1914,06/1914
418,7,1914,07/1914
419,8,1914,08/1914
420,9,1914,09/1914
421,10,1914,10/1914
422,11,1914,11/1914
423,12,1914,12/1914
424,0,1915,00/1915
425,14,1915,14/1915
426,13,1915,13/1915
427,1,1915,01/1915
428,2,1915,02/1915
429,3,1915,03/1915
430,4,1915,04/1915
431,5,1915,05/1915
432,6,1915,06/1915
433,7,1915,07/1915
434,8,1915,08/1915
435,9,1915,09/1915
436,10,1915,10/1915
437,11,1915,11/1915
438,12,1915,12/1915
439,0,1916,00/1916
440,14,1916,14/1916
441,13,1916,13/1916
442,1,1916,01/1916
443,2,1916,02/1916
444,3,1916,03/1916
445,4,1916,04/1916
446,5,1916,05/1916
447,6,1916,06/1916
448,7,1916,07/1916
449,8,1916,08/1916
450,9,1916,09/1916
451,10,1916,10/1916
452,11,1916,11/1916
453,12,1916,12/1916
454,0,1917,00/1917
455,14,1917,14/1917
456,13,1917,13/1917
457,1,1917,01/1917
458,2,1964,02/1964
459,3,1964,03/1964
460,4,1964,04/1964
461,5,1964,05/1964
462,6,1964,06/1964
463,7,1964,07/1964
464,8,1964,08/1964
465,9,1964,09/1964
466,10,1964,10/1964
467,11,1964,11/1964
468,12,1964,12/1964
469,0,1965,00/1965
470,14,1965,14/1965
471,13,1965,13/1965
472,1,1965,01/1965
473,2,1965,02/1965
474,3,1965,03/1965
475,4,1965,04/1965
476,5,1965,05/1965
477,6,1965,06/1965
478,7,1965,07/1965
479,8,1965,08/1965
480,9,1965,09/1965
481,10,1965,10/1965
482,11,1965,11/1965
483,12,1965,12/1965
484,0,1966,00/1966
485,14,1966,14/1966
486,13,1966,13/1966
487,1,1966,01/1966
488,2,1966,02/1966
489,3,1966,03/1966
490,4,1966,04/1966
491,5,1966,05/1966
492,6,1966,06/1966
493,7,1966,07/1966
494,8,1966,08/1966
495,9,1966,09/1966
496,10,1966,10/1966
497,11,1966,11/1966
498,12,1966,12/1966
499,0,1967,00/1967
500,14,1967,14/1967
501,13,1967,13/1967
502,1,1967,01/1967
503,2,1967,02/1967
504,3,1967,03/1967
505,4,1967,04/1967
506,5,1967,05/1967
507,6,1967,06/1967
508,7,1967,07/1967
509,8,1967,08/1967
510,9,1967,09/1967
511,10,1967,10/1967
512,11,1967,11/1967
513,12,1967,12/1967
514,0,1968,00/1968
515,14,1968,14/1968
516,13,1968,13/1968
517,1,1968,01/1968
518,9,2037,09/2037
519,10,2037,10/2037
520,11,2037,11/2037
521,12,2037,12/2037
522,0,2038,00/2038
523,14,2038,14/2038
524,13,2038,13/2038
525,1,2038,01/2038
526,2,2038,02/2038
527,3,2038,03/2038
528,4,2038,04/2038
529,5,2038,05/2038
530,6,2038,06/2038
531,7,2038,07/2038
532,8,2038,08/2038
533,9,2038,09/2038
534,10,2038,10/2038
535,11,2038,11/2038
536,12,2038,12/2038
537,0,2039,00/2039
538,14,2039,14/2039
539,13,2039,13/2039
540,1,2039,01/2039
541,2,2039,02/2039
542,3,2039,03/2039
543,4,2039,04/2039
544,5,2039,05/2039
545,6,2039,06/2039
546,7,2039,07/2039
547,8,2039,08/2039
548,9,2039,09/2039
549,10,2039,10/2039
550,11,2039,11/2039
551,12,2039,12/2039
552,0,2040,00/2040
553,14,2040,14/2040
554,13,2040,13/2040
555,1,2040,01/2040
556,2,2040,02/2040
557,3,2040,03/2040
558,4,2040,04/2040
559,5,2040,05/2040
560,6,2040,06/2040
561,7,2040,07/2040
562,8,2040,08/2040
563,9,2040,09/2040
564,10,2040,10/2040
565,11,2040,11/2040
566,12,2040,12/2040
567,0,2041,00/2041
568,14,2041,14/2041
569,13,2041,13/2041
570,1,2041,01/2041
571,2,2041,02/2041
572,3,2041,03/2041
573,4,2041,04/2041
574,5,2041,05/2041
575,6,2041,06/2041
576,7,2041,07/2041
577,8,2041,08/2041
578,9,2041,09/2041
579,10,2041,10/2041
580,11,2041,11/2041
581,12,2041,12/2041
582,0,2042,00/2042
583,14,2042,14/2042
584,13,2042,13/2042
585,1,2042,01/2042
586,2,2042,02/2042
587,3,2042,03/2042
588,4,2042,04/2042
589,5,2042,05/2042
590,6,2042,06/2042
591,7,2042,07/2042
592,8,2042,08/2042
593,9,2042,09/2042
594,10,2042,10/2042
595,11,2042,11/2042
596,12,2042,12/2042
597,0,2043,00/2043
598,14,2043,14/2043
599,13,2043,13/2043
600,1,2043,01/2043
601,2,2043,02/2043
