id_tempo;id_orgao;id_convenio;id_concedente;id_unidade_orc;id_situacao;ano_particao;vr_concedente_atual;vr_proponente_atual
36921;26;1074;108;2397;2;2008;22805277.31;3257896.76
38278;16;262;971;2936;2;2008;50000.00;0.00
37820;16;999;1120;2936;2;2008;100000.00;0.00
37779;16;971;968;2936;2;2008;90000.00;0.00
37812;16;1001;260;2936;2;2008;2490070.92;0.00
37806;16;985;604;2936;2;2008;16502.55;0.00
37332;4;1063;992;2505;2;2008;550000.00;110000.00
37329;4;1076;992;2505;2;2008;300000.00;29779.00
37273;4;975;992;2505;2;2008;3900000.00;1025000.00
38261;4;1026;992;2505;2;2008;366000.00;92000.00
37793;4;1041;992;2505;2;2008;270000.00;67500.00
38654;14;1021;391;2937;2;2008;250000.00;50000.00
37735;55;1002;112;2123;2;2008;457496.00;91499.20
37735;55;1029;112;2123;2;2008;221125.00;44225.00
37735;55;1030;112;2123;2;2008;221125.00;44225.00
38189;15;1042;827;2119;2;2008;2505888.13;749466.94
37784;35;973;374;2529;2;2008;120000.00;0.00
37797;35;1059;1089;2529;2;2008;55000.00;0.00
37797;35;991;111;2529;2;2008;1178626.40;24053.60
38641;35;1050;1060;2529;2;2008;4500000.00;0.00
37266;1;1017;259;3125;2;2008;4000000.00;1600000.00
37262;44;987;108;1885;2;2008;668808.01;133761.60
36921;44;988;108;1885;2;2008;436820.95;180000.00
36921;44;989;108;1885;2;2008;487514.30;126649.18
36921;44;969;108;1885;2;2008;639475.00;350000.00
37793;44;993;992;1885;2;2008;200000.00;100000.00
37274;24;648;1159;2729;2;2008;323640.00;80910.00
36920;12;1019;418;3371;2;2008;8095400.00;4335200.00
37792;9;1005;111;2506;2;2008;164704.00;40896.00
38671;34;197;107;2090;2;2009;250000.00;250000.00
38671;34;981;107;2090;2;2009;550000.00;550000.00
37286;34;287;107;2090;2;2008;1800000.00;1200000.00
37286;34;202;107;2090;2;2008;8346998.00;3421600.00
38671;34;234;107;2090;2;2009;500000.00;500000.00
39674;19;933;381;3296;1;2009;22282282.23;21282282.23
40032;19;257;795;3296;2;2009;5000000.00;5000000.00
39600;19;264;217;3296;2;2009;550000.00;550000.00
39585;19;189;959;3296;2;2009;834600.00;1332450.00
38653;19;288;850;3296;2;2008;7500000.00;5000000.00
39655;19;195;850;3296;2;2009;1000000.00;1000000.00
39118;19;236;850;3296;2;2009;2250000.00;1500000.00
39599;19;187;850;3296;2;2009;250000.00;250000.00
38669;19;212;850;3296;2;2009;7000000.00;12000000.00
37818;20;1070;418;1768;2;2008;1950000.00;1000000.00
38655;20;1035;270;1768;2;2008;6913281.78;6913281.78
38655;20;156;270;1768;2;2008;1000000.00;1000000.00
38654;20;203;270;1768;2;2008;1700000.00;1700000.00
38671;20;233;107;1768;2;2009;13599191.44;4549965.00
38660;40;159;470;2701;2;2009;480000.00;4848.50
38660;40;255;470;2701;2;2009;2219100.00;25900.00
38660;40;1060;470;2701;2;2009;213610.33;2157.68
38660;40;283;470;2701;2;2009;1528559.72;15440.00
38661;40;285;270;2701;2;2009;8371138.00;2094649.00
38671;40;261;1159;2701;2;2009;3242124.00;324212.40
39182;40;270;852;2701;2;2009;38523.60;40000.00
38641;40;171;852;2701;2;2008;7600.00;0.00
39153;40;225;103;2701;2;2009;4140000.00;0.00
40084;7;505;1101;2927;2;2010;425000.00;0.00
39208;7;272;259;2927;2;2009;12000000.00;3028321.01
38677;7;1024;689;2927;2;2009;485000.00;125000.00
38664;7;210;689;2927;2;2009;780000.00;200000.00
38655;50;974;108;1829;2;2008;59399044.63;6599893.84
37812;58;222;650;2462;2;2008;240000.00;0.00
37807;58;232;852;2462;2;2008;36823.23;0.00
38721;57;230;534;2278;2;2009;2615376.60;0.00
39569;57;247;236;2278;2;2009;250000.00;0.00
38679;57;169;1121;2278;2;2009;69600.00;0.00
39193;57;162;1120;2278;2;2009;960000.00;96000.00
39137;57;263;968;2278;2;2009;292000.00;0.00
39569;57;294;377;2278;2;2009;85000.00;0.00
38298;57;157;216;2278;2;2008;51653.23;0.00
38721;57;1049;469;2278;2;2009;24000.00;0.00
40030;57;266;1000;2278;2;2009;1320000.00;158400.00
39655;57;196;698;2278;2;2009;263200.00;61040.00
40041;57;72;698;2278;2;2009;120000.00;0.00
39589;57;273;1160;2278;2;2009;35000.00;0.00
39655;57;487;103;2278;2;2009;449016.00;0.00
39588;33;219;1151;3336;2;2009;407056.60;101764.15
39176;2;253;557;2279;2;2009;500000.00;0.00
39672;18;173;601;2251;2;2009;218000.00;82861.00
39129;5;172;992;2089;2;2009;676363.51;75151.50
40032;5;246;679;2089;2;2009;1500000.00;0.00
38686;23;201;747;3115;2;2009;61404000.00;0.00
40040;23;175;269;3115;2;2009;3311550.17;1419235.78
39179;42;155;863;2928;1;2009;3830721.84;8546556.10
37791;42;279;33;2928;2;2008;6326775.00;6326775.00
39196;42;223;88;2928;2;2009;42106781.49;10526695.37
38663;25;1034;1159;2929;2;2009;100000.00;40000.00
38663;25;1069;1159;2929;2;2009;122723.00;30680.00
38671;25;1072;1159;2929;2;2009;119600.00;29900.00
38663;25;245;1159;2929;2;2009;255113.00;64000.00
38671;25;191;1159;2929;2;2009;620352.00;134875.00
38675;43;177;1159;1870;2;2009;100000.00;20000.00
38677;43;200;99;1870;2;2009;31010.05;0.00
38675;13;1046;858;2496;2;2009;120000.00;24000.00
39610;13;176;109;2496;2;2009;888000.00;0.00
39130;13;242;985;2496;2;2009;600000.00;0.00
38675;3;280;1159;1871;2;2009;3108483.00;621897.00
38675;3;281;1159;1871;2;2009;200000.00;40000.00
38675;3;293;1159;1871;2;2009;100000.00;25000.00
38675;3;185;1159;1871;2;2009;400000.00;100000.00
38675;3;206;1159;1871;2;2009;119792.00;38408.00
38675;3;160;1159;1871;2;2009;80000.00;20000.00
